month_date,series_id,series_name,unit,value,data_status
1971-11-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),43.2,reported
1971-10-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),44.4,reported
1971-09-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),46.5,reported
1972-02-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),48.0,reported
1972-03-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),48.9,reported
1972-01-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),48.9,reported
1972-04-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),49.9,reported
1971-12-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),50.2,reported
1972-06-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),50.7,reported
1972-10-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),50.7,reported
1972-05-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),51.1,reported
1971-08-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),51.3,reported
1972-08-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),51.4,reported
1972-07-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),51.7,reported
1972-11-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),52.2,reported
1972-09-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),55.4,reported
1986-10-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),58.0,reported
1987-08-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),59.4,reported
1971-07-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),59.6,reported
1971-05-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),60.2,reported
1986-09-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),60.4,reported
1971-04-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),60.8,reported
1987-02-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),61.3,reported
2000-08-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),61.7,reported
1987-03-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),61.9,reported
1971-03-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),62.0,reported
1987-01-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),62.0,reported
1973-03-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),62.6,reported
2005-10-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),62.6,reported
1971-06-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),63.0,reported
1973-01-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),63.2,reported
1971-01-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),63.4,reported
1971-02-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),63.6,reported
1973-02-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),64.7,reported
1987-09-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),64.8,reported
2000-07-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),65.3,reported
1986-11-01,corn_ppi,Corn Producer Price Index,index 1982=100 (NSA),65.4,reported
